[id= 2, Название= Plush Bunny, Осталось= 8, Вероятность= 15.0]
[id= 5, Название= Plush Dragon, Осталось= 4, Вероятность= 75.0]
[id= 1, Название= Teddy Bear, Осталось= 12, Вероятность= 25.0]
[id= 1, Название= Teddy Bear, Осталось= 11, Вероятность= 25.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 3, Название= Plush Monkey, Осталось= 9, Вероятность= 30.0]
[id= 3, Название= Plush Monkey, Осталось= 9, Вероятность= 30.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 3, Название= Plush Monkey, Осталось= 8, Вероятность= 30.0]
[id= 2, Название= Plush Bunny, Осталось= 7, Вероятность= 15.0]
[id= 3, Название= Plush Monkey, Осталось= 9, Вероятность= 30.0]
[id= 1, Название= Teddy Bear, Осталось= 11, Вероятность= 25.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 3, Название= Plush Monkey, Осталось= 9, Вероятность= 30.0]
[id= 1, Название= Teddy Bear, Осталось= 11, Вероятность= 25.0]
[id= 2, Название= Plush Bunny, Осталось= 7, Вероятность= 15.0]
[id= 3, Название= Plush Monkey, Осталось= 9, Вероятность= 30.0]
[id= 3, Название= Plush Monkey, Осталось= 8, Вероятность= 30.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 2, Название= Plush Bunny, Осталось= 7, Вероятность= 15.0]
[id= 1, Название= Teddy Bear, Осталось= 11, Вероятность= 25.0]
[id= 1, Название= Teddy Bear, Осталось= 10, Вероятность= 25.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 4, Название= Plush Tiger, Осталось= 6, Вероятность= 15.0]
[id= 5, Название= Plush Dragon, Осталось= 2, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 2, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 1, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 2, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 1, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 0, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 2, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 1, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 0, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 2, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 1, Вероятность= 75.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
[id= 4, Название= Plush Tiger, Осталось= 6, Вероятность= 15.0]
[id= 5, Название= Plush Dragon, Осталось= 3, Вероятность= 75.0]
